id,start_pos,end_pos,type,surface,wb_id,has_nested,is_nested,named_entity
53,39,45,LOC,Arezzo,Q13378,,,1

53,71,81,MISC,principles,,,,

53,85,88,MISC,art,,,,

53,102,108,MISC,father,,,,

53,125,133,LOC,Florence,Q2044,,,1

53,151,182,PER,Messer Leonardo Bruni of Arezzo,Q314488,1,,1

53,176,182,LOC,Arezzo,Q13378,,1,1

53,204,220,PER,Lorenzo Ghiberti,Q208125,,,1

53,230,236,MISC,school,,,,

53,255,258,MISC,men,,,,

53,283,293,MISC,discipline,,,,

53,309,314,MISC,doors,,,,

53,318,329,LOC,S. Giovanni,Q732511,,,1

53,380,386,MISC,labour,,,,

53,396,403,MISC,figures,,,,

54,20,24,MISC,work,,,,

54,39,49,MISC,friendship,,,,

54,55,75,PER,Masolino da Panicale,Q318117,,,1

54,104,110,MISC,method,,,,

54,114,121,MISC,drawing,,,,

54,202,208,MISC,manner,,,,

54,212,236,PER,Don Lorenzo degli Angeli,Q155376,,,1

55,10,17,MISC,arrival,,,,

55,66,77,PER,Pope Julius,Q80516,,,1

55,79,87,PER,Raffaell,,,,

55,102,124,LOC,Camera della Segnatura,Q9292247,,,1

55,127,132,MISC,scene,,,,

55,140,151,MISC,theologians,,,,

55,164,174,MISC,Philosophy,Q5891,,,1

55,179,188,MISC,Astrology,Q34362,,,1

55,194,202,MISC,Theology,Q34178,,,1

55,237,242,MISC,sages,,,,

55,250,255,MISC,world,,,,

56,24,35,MISC,astrologers,,,,

56,68,75,MISC,figures,,,,

56,80,90,MISC,characters,,,,

56,94,102,MISC,geomancy,,,,

56,107,116,MISC,astrology,,,,

56,132,139,MISC,tablets,,,,

56,164,175,ORG,Evangelists,,,,

56,202,208,MISC,angels,,,,

56,220,231,PER,Evangelists,Q472773,,,1

57,14,22,PER,Diogenes,Q59180,,,1

57,32,35,MISC,cup,,,,

57,50,55,MISC,steps,,,,

57,69,76,MISC,thought,,,,

57,123,129,MISC,beauty,,,,

57,171,176,MISC,dress,,,,

58,17,26,PER,Aristotle,Q868,,,1

58,31,36,PER,Plato,Q859,,,1

58,51,57,MISC,Timæus,Q371884,,,1

58,65,69,MISC,hand,,,,

58,90,96,MISC,Ethics,Q474537,,,1

58,119,125,MISC,circle,,,,

58,138,144,MISC,school,,,,

58,148,160,MISC,philosophers,,,,

59,8,37,LOC,Convent of the Nuns of Ripoli,Q3670746,1,,1

59,31,37,LOC,Ripoli,Q82612,,1,1

59,38,45,PER,Ridolfo,Q64881,,,1

59,58,70,MISC,altar-pieces,,,,

59,74,78,MISC,oils,,,,

59,91,113,MISC,Coronation of Our Lady,Q1093370,,,1

59,134,141,PER,Madonna,Q345,,,1

59,164,170,PER,Saints,Q43115,,,1

60,8,26,PER,Church of S. Gallo,,,,

60,44,55,MISC,altar-piece,,,,

60,56,62,PER,Christ,Q302,,,1

60,75,80,MISC,Cross,Q392371,,,1

60,104,112,MISC,soldiers,,,,

60,122,129,MISC,Madonna,Q345,,,1

60,144,150,MISC,Maries,Q3254109,,,1

60,184,188,PER,John,Q44015,,,1

60,196,204,PER,Veronica,Q196653,,,1

60,221,229,MISC,Sudarium,Q1365316,,,1

60,233,239,PER,Christ,Q302,,,1

60,253,258,MISC,force,,,,

60,263,272,MISC,animation,,,,

61,0,7,PER,Michele,Q459937,,,1

61,34,48,MISC,fortifications,,,,

61,70,79,MISC,buildings,,,,

61,87,94,MISC,temples,,,,

61,96,104,MISC,churches,,,,

61,110,121,MISC,monasteries,,,,

61,148,157,MISC,buildings,,,,

61,161,167,LOC,Verona,Q2028,,,1

61,178,184,MISC,places,,,,

61,238,261,PER,Chapel of the Guareschi,Q3657362,,,1

61,265,278,LOC,S. Bernardino,Q3669629,,,1

61,305,311,MISC,manner,,,,

61,317,323,MISC,temple,,,,

61,336,352,MISC,Corinthian Order,Q54124,,,1

61,367,376,MISC,ornaments,,,,

61,388,394,MISC,manner,,,,

62,8,28,PER,Cardinal of Lorraine,NIL,1,,1

62,42,48,PER,Christ,Q302,,,1

62,56,65,WORK_OF_ART,Ecce Homo,,,,

62,68,82,WORK_OF_ART,a Jove with Io,NIL,1,,1

62,70,74,MISC,Jove,Q34201,,1,1

62,80,82,MISC,Io,Q179014,,1,1

62,99,104,MISC,works,,,,

63,15,29,PER,King of Poland,Q3273712,,,1

63,32,39,MISC,picture,,,,

63,52,56,MISC,Jove,Q34201,,,1

63,64,69,MISC,Nymph,Q373916,,,1

63,109,114,MISC,thing,,,,

64,7,15,LOC,Flanders,Q234,,,1

64,49,57,MISC,pictures,,,,

64,61,78,PER,S. Mary Magdalene,Q63070,,,1

64,86,92,LOC,Desert,Q8514,,,1

64,113,119,MISC,Angels,Q235113,,,1

64,127,132,MISC,Diana,Q132543,,,1

64,157,163,MISC,Nymphs,Q373916,,,1

64,169,174,MISC,fount,,,,

64,199,216,PER,Milanese Candiano,NIL,,,1

64,242,266,PER,physician of Queen Maria,,,,

64,255,266,PER,Queen Maria,,,,

64,284,296,MISC,her Highness,,,,

65,22,39,PER,Daniello da Parma,Q5219465,1,,1

65,79,99,PER,Antonio da Correggio,Q8457,1,,1

65,125,152,PER,Francesco Mazzuoli of Parma,Q9348,1,,1

65,147,152,LOC,Parma,Q2683,,1,1

65,183,189,MISC,church,,,,

65,193,199,MISC,fresco,,,,

65,208,223,ORG,Office of Works,NIL,,,1

65,227,244,LOC,S. Maria at Vitto,NIL,1,,1

65,239,244,LOC,Vitto,Q116390,,1,1

65,253,257,LOC,Sora,Q117382,,,1

65,266,273,MISC,borders,,,,

65,281,288,LOC,Abruzzi,Q1284,,,1

65,297,303,PER,Taddeo,Q434058,,,1

65,311,321,MISC,assistance,,,,

65,338,343,LOC,Vitto,Q116390,,,1

66,9,13,MISC,work,,,,

66,24,32,PER,Daniello,Q5219465,,,1

66,50,57,MISC,painter,,,,

66,65,70,MISC,world,,,,

66,104,107,MISC,age,,,,

66,149,158,PER,Correggio,Q8457,,,1

66,163,173,PER,Parmigiano,Q9348,,,1

66,218,227,MISC,paintings,,,,

66,274,280,PER,Taddeo,Q434058,,,1

66,322,332,MISC,assistance,,,,

66,349,354,MISC,words,,,,

67,8,12,MISC,work,,,,

67,47,53,PER,Taddeo,Q434058,,,1

67,66,82,PER,four Evangelists,Q472773,,,1

67,88,94,PER,Sibyls,Q273320,,,1

67,100,108,PER,Prophets,Q42857,,,1

67,134,141,MISC,stories,,,,

67,145,157,PER,Jesus Christ,Q302,,,1

67,169,186,PER,Virgin His Mother,Q345,,,1

